id,fonds,Numero_inventaire,Classement_thematique,Type_document,ISSN,ISBN,Auteur1,Fonction1,Auteur2,Fonction2,Auteur3,Fonction3,Auteur4,Fonction4,Auteur5,Fonction5,Auteur6,Fonction6,Titre,Titre_moderne,Sous_titre,Lieu_edition1,Lieu_edition2,Editeur1,Editeur2,Adresse_editeur1,Adresse_editeur2,Collection,Annee_edition,Numero_edition,Tome,Numero_de_volume,Nb_volumes,Nb_Pages,Format,Privileges_royaux_et_date_approbation,Ex_libris,Lien_hypertexte,Illustrations,Notes,Provenance,Disponible,Emprunteur,Date_emprunt,Financement
,ancien,295,D.I.23,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,ORTOLAN Joseph-Louis-Elzéar,Commentateur,,,,,,,,,Explication historique des Instituts de l’empereur Justinien… précédée de l'histoire de la législation romaine…,,,Paris,,"Henri Plon, imprimeur-éditeur","Marescq et Dujardin, libraires","rue Garancière, 8","rue Soufflot, 10",,1857,6e édition,Tome 1,,3,512,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,296,D.I.23,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,ORTOLAN Joseph-Louis-Elzéar,Commentateur,,,,,,,,,Explication historique des Instituts de l’empereur Justinien… précédée de l'histoire de la législation romaine…,,,Paris,,"Henri Plon, imprimeur-éditeur","Marescq et Dujardin, libraires","rue Garancière, 8","rue Soufflot, 10",,1857,6e édition,Tome 2,,3,660,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,297,D.I.23,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,ORTOLAN Joseph-Louis-Elzéar,Commentateur,,,,,,,,,Explication historique des Instituts de l’empereur Justinien… précédée de l'histoire de la législation romaine…,,,Paris,,"Henri Plon, imprimeur-éditeur","Marescq et Dujardin, libraires","rue Garancière, 8","rue Soufflot, 10",,1857,6e édition,Tome 3,,3,788,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,298,D.I.24,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,ORTOLAN Joseph-Louis-Elzéar,Commentateur,,,,,,,,,Explication historique des Instituts de l’empereur Justinien… précédée de l'histoire de la législation romaine…,,,Paris,,"Joubert, libraire-éditeur",,"rue des Grès, 14",,,1842,2e édition,,,1,368,in-8,,,,,,,MANQUANT,,,
,ancien,299,D.I.25,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,ETIENNE L.,Commentateur,,,,,,,,,Institutes de Justinien traduites et expliquées par L. Etienne,,,Paris,,"Cotillon, libraire","Pardigon, libraire","rue des Grès, 16","rue du Grand-Boulevard, 5",,1845,,Tome 1,,2,591,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,300,D.I.25,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,ETIENNE L.,Commentateur,,,,,,,,,Institutes de Justinien traduites et expliquées par L. Etienne,,,Paris,,"Cotillon, libraire","Pardigon, libraire","rue des Grès, 16","rue du Grand-Boulevard, 5",,1846,,Tome 2,,2,622,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,301,D.I.26,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,,,,,,,,,,,Examen sur le droit romain selon les Institutes de Justinien,,,Paris,,"Fromont-Pernet, libraire-éditeur",,"rue des Grès, 7bis",,,1837,,,,1,525,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,302,D.I.27,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,BONJEAN Georges,Commentateur,LARICHE Louis-Etienne-Alexandre,Commentateur,,,,,,,Explication méthodique des Institutes de Justinien,,,Paris,,"A. Durand et Pedone-Lauriel, éditeurs",,"rue Cujas, 9",,,1878,,Tome 1,,2,875,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,303,D.I.27,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,BONJEAN Georges,Commentateur,LARICHE Louis-Etienne-Alexandre,Commentateur,,,,,,,Explication méthodique des Institutes de Justinien,,,Paris,,"A. Durand et Pedone-Lauriel, éditeurs",,"rue Cujas, 9",,,1882,,Tome 2,,2,1032,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,304,D.I.28,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,LARICHE Louis-Etienne-Alexandre,Commentateur,,,,,,,,,Explication des Institutes de Justinien…,,,Paris,,"A. Durand et Pedone-Lauriel, éditeurs",,"rue Cujas, 9",,,1868,,Tome 1,,2,714,in-8,,,,,"note manuscrite de Lariche : ""Hommage à M. le professeur Renardet""",Bibliothèque Renardet,OUI,,,
,ancien,305,D.I.28,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,LARICHE Louis-Etienne-Alexandre,Commentateur,,,,,,,,,Explication des Institutes de Justinien…,,,Paris,,"A. Durand et Pedone-Lauriel, éditeurs",,"rue Cujas, 9",,,1869,,Tome 2,,2,243,in-8,,,,,"note manuscrite de Lariche : ""Hommage à M. le professeur Renardet""",Bibliothèque Renardet,OUI,,,
,ancien,306,D.I.29,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,LARICHE Louis-Etienne-Alexandre,Commentateur,,,,,,,,,Explication des Institutes de Justinien…,,,Paris,,"A. Durand et Pedone-Lauriel, éditeurs",,"rue Cujas, 9",,,1868,,Tome 1,,1,242,in-8,,,,,,,OUI,,,
,ancien,307,D.I.30,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,DELUSSEUX Jean-Louis,Commentateur,,,,,,,,,Institutionum imperatoris Justiniani compendium ad usum scholae,,,Divione (Dijon),,"Victorem Lagier, bibliopolam",,via Rameau,,,1817,,,,1,496,in-12,,,,"oui, 1 planche",,Bibliothèque Villequez,OUI,,,
,ancien,308,D.I.31,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,LABOULAYE Edouard,Commentateur,,,,,,,,,D. Justiniani Institutionum libri IV…,,,Parisiis (Paris),,"A. Durand, bibliopolam",,"via des Grès, 3",,,1854-1855,,,,1,293,in-12,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,309,D.I.32,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,SCHRADER Eduardes,Commentateur,,,,,,,,,Imperatoris Justiniani Institutionum libri IV…,,,Berolini (Berlin),,G. Reimerum,,,,,1844,,,,1,215,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,310,D.I.33,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,LA COSTE Jean (de),Commentateur,,,,,,,,,"Institutionum, sive Elementorum... libri quatuor..",,,Lutetiae Parisiorum (Paris),,Jacobi Cujacii,,,,,1659,,,,1,,in-4,,,,,,,MANQUANT,,,
,ancien,311,D.I.34,OUVRAGE,,,LA COSTE Jean (de),Auteur,,,,,,,,,,,Praelectiones ad illustriores quosdam titulos locaque selecta juris civilis,,,Lugduni Batavorum (Leyde),,Sam et Joh. Luchtmans,,,,,1773,,,,1,345,in-4,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,312,D.I.35,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,CUJAS Jacob,Commentateur,,,,,,,,,Iustiniani perpetui augusti institutionum sive elementorum ... libri IV,,,Lutetiae Parisiorum (Paris),,Edmundi Martini,,via Jacobae,,,1659,1ère édition,,,1,519,in-4,"oui, 30 août 1659",,,,note manuscrite 1ère page,Bibliothèque Villequez,OUI,,,
,ancien,313,D.I.36,OUVRAGE,,,HEINECKE Johann Gottlieb,Auteur,,,,,,,,,,,Elementa juris civilis secundo ordinem Institutionum,,,Vindobonae (Vienne),,J. T. de Trattnern,,,,,1777,2e édition,,,1,574,in-8,,,,,,Bibliothèque Faculté de Droit de Dijon,OUI,,,
,ancien,314,D.I.37,OUVRAGE,,,HEINECKE Johann Gottlieb,Auteur,,,,,,,,,,,Elementa juris civilis secundo ordinem Institutionum,,,Francofurti ad Moenum (Francfort-sur-le-Main),,Franciscus Varrentrapp,,,,,1770,,,,1,368,in-8,,,,,,Bibliothèque Faculté de Droit de Dijon,OUI,,,
,ancien,315,D.I.38,OUVRAGE,,,VAN GIFFEN Hubert,Auteur,,,,,,,,,,,In quattuor libros Institutionum juris civilis… commentarius…,,,Argentorati (Strasbourg),,L. Zetzner,,,,,1611,2e édition,,,1,394,in-4,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,316,D.II.39,OUVRAGE,,,BORSCHOLTEN Jean,Auteur,,,,,,,,,,,In quatuor Institutionum juris civilis libros commentaria…,,,Parisiis (Paris),,Stephanum Maucroy,Nicolaum Pepingue,via Foenicea,in aulâ Palatij…,,1663,,,,1,750,in-4,,,,,note manuscrite de Villequez,Bibliothèque Villequez,OUI,,,
,ancien,317,D.II.40,OUVRAGE,,,ZOESIUS Henri,Auteur,,,,,,,,,,,Commentarius ad Institutionum juris civilis libros IV,,,Lovanii (Louvain),,Hieronymi Nempaei,,,,,1653,,,,1,758,in-4,,"oui, 1756",,"oui, marque au titre",,Bibliothèque Villequez,OUI,,,
,ancien,318,D.II.41,OUVRAGE,,,SCHNEIDEWEIN Jean,Auteur,,,,,,,,,,,In quatuor Institutionum… commentarii…,,,Coloniae (Cologne),,Wilhelmi Metternich,,,,,1724,11e édition,,,1,1903,in-4,,oui,,oui,,Bibliothèque Villequez,OUI,,,
,ancien,319,D.I.42,OUVRAGE,,,VINNIUS Arnold,Auteur,,,,,,,,,,,In quatuor libros Institutionum imperialium commentarius…,,,Lugduni (Lyon),,Petri Bruyset & Sociorum,,,,,1747,nouvelle édition,,,1,998,in-4,"oui, 18 janvier 1744",oui,,,,,OUI,,,
,ancien,320,D.I.43,OUVRAGE,,,VINNIUS Arnold,Auteur,,,,,,,,,,,In quatuor libros Institutionum imperialium commentarius…,,,Lugduni (Lyon),,Petri Bruyset & Sociorum,,,,,1747,nouvelle édition,Tome 1,,3,194,in-4,,oui,,,,Bibliothèque Villequez,OUI,,,
,ancien,321,D.I.43,OUVRAGE,,,VINNIUS Arnold,Auteur,,,,,,,,,,,In quatuor libros Institutionum imperialium commentarius…,,,Lugduni (Lyon),,Petri Bruyset & Sociorum,,,,,1747,nouvelle édition,Tome 2,,3,568,in-4,,oui,,,,Bibliothèque Villequez,OUI,,,
,ancien,322,D.I.43,OUVRAGE,,,VINNIUS Arnold,Auteur,,,,,,,,,,,In quatuor libros Institutionum imperialium commentarius…,,,Lugduni (Lyon),,Petri Bruyset & Sociorum,,,,,1747,nouvelle édition,Tome 3,,3,998,in-4,"oui, 18 janvier 1744",,,,,Bibliothèque Villequez,OUI,,,
,ancien,323,D.I.44,OUVRAGE,,,VINNIUS Arnold,Auteur,,,,,,,,,,,In quatuor libros Institutionum imperialium commentarius…,,,Venetia (Venise),,Typ. Balleaniana,,,,,1804,,,,1,préf.-459-index-387,in-4,,,,,2 vol. en 1,,MANQUANT,,,
,ancien,324,D.I.45,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HOPPE Jean,Commentateur,,,,,,,,,Commentatio succincta ad Institutiones justifiants…,,,Francofurti ad Moenum (Francfort-sur-le-Main),,Franciscus Varrentrapp,,,,,1746,,,,1,1035,in-4,,,,"oui, 1 planche",,Bibliothèque Villequez,OUI,,,
,ancien,325,D.I.46,OUVRAGE,,,HARPPRECHT Jean,Auteur,,,,,,,,,,,Commentaria in celebret titulum Institutionum…,,,Francofurti (Francfort-sur-le-Main),,Johannes Saurius,,,,,1599,,,,1,[XIV]-302-index,in-12,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,326,D.I.47,OUVRAGE,,,PEREZIUS Antoine,Auteur,,,,,,,,,,,Juris civilis antecessoris Institutiones impériales ergotements distinctae…,,,Lugduni (Lyon),,Jacobum Certe,,rue Mercière,,,1739,,,,1,623,in-8,"oui, 28 février 1723",,,,,Bibliothèque Villequez,OUI,,,
,ancien,327,D.I.48,OUVRAGE,,,VINNIUS Arnold,Auteur,,,,,,,,,,,Selectarum juris quaestionum libri duo,,,Venetia (Venise),,Typ. Balleaniana,,,,,1801,,,,1,184- index-8-163-index-426,in-4,,,,,,,MANQUANT,,,
,ancien,328,D.I.48,OUVRAGE,,,VINNIUS Arnold,Auteur,,,,,,,,,,,Selectarum juris quaestionum libri duo,,,Venetia (Venise),,Typ. Balleaniana,,,,,1801,,,,1,184-index-8-163-index-426,in-4,,,,,2e exemplaire,,MANQUANT,,,
,ancien,329,D.I.49,OUVRAGE,,,BANNELIER Jean,Auteur,,,,,,,,,,,Introduction à l'étude du Digeste,,,Dijon,,Antoine de Fay,,rue Portelle,,,1730,,,,1,60,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,330,D.II.50,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,,,,,,,,,,,Digestorum seu pandectes libri quinquaginta ex florentinis pandectes representati,,,Florentiae (Florence),,Laurentii Torrentini,,,,,1553,,Tome 1,,2,692,in-fol.,oui,,,"oui, marque au titre ",,Bibliothèque Villequez,OUI,,,
,ancien,331,D.II.50,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,,,,,,,,,,,Digestorum seu pandectes libri quinquaginta ex florentinis pandectes representati,,,Florentiae (Florence),,Laurentii Torrentini,,,,,1553,,Tome 2,,2,693-1666,in-fol.,oui,,,"oui, marque au titre",,Bibliothèque Villequez,OUI,,,
,ancien,332,D.I.51,OUVRAGE,,,TROUSSEL  M.,Auteur,,,,,,,,,,,Elémens du droit ou traduction du premier livre du Digeste,,,Avignon,,Vve Girard et F. Seguin,,près la place St Didier,,,1771,,,,1,238,in-8,,oui,,,,Bibliothèque Renardet,OUI,,,
,ancien,333,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1803,,Tome 1,,35,327,in-8,,,,,,,OUI,,,
,ancien,334,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 2,,35,350,in-8,,,,,,,OUI,,,
,ancien,335,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 3,,35,331,in-8,,,,,,,OUI,,,
,ancien,336,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 4,,35,343,in-8,,,,,,,OUI,,,
,ancien,337,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 5,,35,419,in-8,,,,,,,OUI,,,
,ancien,338,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 6,,35,333,in-8,,,,,,,OUI,,,
,ancien,339,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 7,,35,387,in-8,,,,,,,OUI,,,
,ancien,340,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 8,,35,319,in-8,,,,,,,OUI,,,
,ancien,341,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 9,,35,307,in-8,,,,,,,OUI,,,
,ancien,342,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 10,,35,451,in-8,,,,,,,OUI,,,
,ancien,343,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 11,,35,375,in-8,,,,,,,OUI,,,
,ancien,344,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 12,,35,373,in-8,,,,,,,OUI,,,
,ancien,345,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 13,,35,315,in-8,,,,,,,OUI,,,
,ancien,346,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 14,,35,317,in-8,,,,,,,OUI,,,
,ancien,347,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 15,,35,511,in-8,,,,,,,OUI,,,
,ancien,348,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 16,,35,371,in-8,,,,,,,OUI,,,
,ancien,349,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 17,,35,421,in-8,,,,,,,OUI,,,
,ancien,350,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 18,,35,350,in-8,,,,,,,OUI,,,
,ancien,351,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 19,,35,411,in-8,,,,,,,OUI,,,
,ancien,352,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1804,,Tome 20,,35,293,in-8,,,,,,,OUI,,,
,ancien,353,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 21,,35,297,in-8,,,,,,,OUI,,,
,ancien,354,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 22,,35,365,in-8,,,,,,,OUI,,,
,ancien,355,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 23,,35,363,in-8,,,,,,,OUI,,,
,ancien,356,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 24,,35,369,in-8,,,,,,,OUI,,,
,ancien,357,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 25,,35,343,in-8,,,,,,,OUI,,,
,ancien,358,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 26,,35,385,in-8,,,,,,,OUI,,,
,ancien,359,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 27,,35,575,in-8,,,,,,,OUI,,,
,ancien,360,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 28,,35,335,in-8,,,,,,,OUI,,,
,ancien,361,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 29,,35,379,in-8,,,,,,,OUI,,,
,ancien,362,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 30,,35,413,in-8,,,,,,,OUI,,,
,ancien,363,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 31,,35,475,in-8,,,,,,,OUI,,,
,ancien,364,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 32,,35,387,in-8,,,,,,,OUI,,,
,ancien,365,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 33,,35,523,in-8,,,,,,,OUI,,,
,ancien,366,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 34,,35,391,in-8,,,,,,,OUI,,,
,ancien,367,D.I.52,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,HULOT Henri,Traducteur,,,,,,,,,Les Cinquante livres du Digeste ou des Pandectes de l’empereur Justinien,,,Metz,Paris,"Behmer, Lamort",Rondonneau,,au dépôt des Lois,,1805,,Tome 35,,35,487,in-8,,,,,,,OUI,,,
,ancien,368,D.I.53,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,PELLAT Charles-Auguste,Traducteur,,,,,,,,,Textes choisis des Pandectes traduits et commentés,,,Paris,,A. Durand,,"rue des Grès, 7",,,1859,,,,1,378,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,369,D.I.54,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,PELLAT Charles-Auguste,Traducteur,,,,,,,,,Traduction du livre XX et du titre VII du Livre XIII des Pandectes avec le texte en regard,,,Paris,,"Gustave Thorel, libraire",,"place du Panthéon, 4",,,1840,,,,1,507,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,370,D.I.55,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,PELLAT Charles-Auguste,Traducteur,,,,,,,,,Traduction du livre XX et du titre VII du Livre XIII des Pandectes avec le texte en regard,,,Paris,,"Gustave Thorel, libraire",,"place du Panthéon, 4",,,1840,,,,1,282,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,371,D.I.56,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,PELLAT Charles-Auguste,Traducteur,,,,,,,,,Textes sur la dot traduits et commentés par C. A. Pellat,,,Paris,,"Videcoq, éditeur",,"rue Soufflot, 1",,,1853,,,,1,447,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,372,D.II.57,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,,,,,,,,,,,Pandectae justifiant in novum ordinem digestae… ,,,Lugduni (Lyon),,Bernuset et Sociorum,,,,,1782,nouvelle édition,Tome 1,,3,695,in-fol.,oui,,,,,Bibliothèque Villequez,OUI,,,
,ancien,373,D.II.57,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,,,,,,,,,,,Pandectae justifiant in novum ordinem digestae… ,,,Lugduni (Lyon),,Bernuset et Sociorum,,,,,1782,nouvelle édition,Tome 2,,3,706,in-fol.,oui,,,,,Bibliothèque Villequez,OUI,,,
,ancien,374,D.II.57,OUVRAGE,,,JUSTINIEN 1er (empereur),Auteur,,,,,,,,,,,Pandectae justifiant in novum ordinem digestae… ,,,Lugduni (Lyon),,Bernuset et Sociorum,,,,,1782,nouvelle édition,Tome 3,,3,916,in-fol.,oui,,,,,Bibliothèque Villequez,OUI,,,
